request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000.00,2024-03-06,none,Safe to pay the full requested amount of 10621000.00 now while maintaining the required minimum balance.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Only 1404.70 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_207,9222.49,affordable_later,wait,none,2026-07-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2026-07-15.
request_208,4159274.03,affordable_later,wait,none,2024-06-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2024-06-15.
request_209,1480.36,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_210,990.42,affordable_with_plan,installments,2026-04-06:471.48|2026-05-04:471.48|2026-06-01:471.48,2026-04-15,none,Only 990.42 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_211,853.22,affordable_later,wait,none,2024-10-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2024-10-15.
request_212,6898723.11,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Only 3362.40 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_214,69750.0,affordable_with_plan,installments,2024-12-04:36270.00|2025-01-01:36270.00,2024-12-04,none,Only 69750.00 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Only 29986.00 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_216,722.52,affordable_later,wait,none,2026-08-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2026-08-15.
request_217,22072.13,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,Only 22072.13 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_218,28859279.11,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,Only 28859279.11 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_219,1446.71,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-15,none,Only 1446.71 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_220,190.38,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800.00,2025-11-03,none,Safe to pay the full requested amount of 109800.00 now while maintaining the required minimum balance.
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078.00,2026-01-05,none,Safe to pay the full requested amount of 34078.00 now while maintaining the required minimum balance.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Safe to pay the full requested amount of 898.70 now while maintaining the required minimum balance.
request_224,10327000.0,affordable_with_plan,installments,2025-02-04:5370040.00|2025-03-04:5370040.00,2025-02-04,none,Only 10327000.00 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_225,12588825.13,affordable_with_plan,installments,2026-07-20:7647120.00|2026-08-19:7647120.00|2026-09-18:7647120.00,2026-08-15,none,Only 12588825.13 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000.00,2024-12-03,none,Safe to pay the full requested amount of 157000.00 now while maintaining the required minimum balance.
request_227,13641.7,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_228,5520352.48,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_229,609.19,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-04-15,none,Only 609.19 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_230,0.0,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_231,35706.0,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,Only 35706.00 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_232,1073.51,affordable_later,wait,none,2024-07-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2024-07-15.
request_233,4450242.22,affordable_with_plan,installments,2025-11-14:3245320.00|2025-12-15:3245320.00,2025-11-15,none,Only 4450242.22 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_234,330.33,affordable_later,wait,none,2026-08-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2026-08-15.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Safe to pay the full requested amount of 967.20 now while maintaining the required minimum balance.
request_236,6617754.42,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000.00,2026-04-05,none,Safe to pay the full requested amount of 23826000.00 now while maintaining the required minimum balance.
request_238,0.0,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_239,642.0,affordable_now,full_payment,2025-05-04:642.00,2025-05-04,none,Safe to pay the full requested amount of 642.00 now while maintaining the required minimum balance.
request_240,26760.0,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Only 21052000.00 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_242,99.39,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468.00,2026-07-07,none,Safe to pay the full requested amount of 17468.00 now while maintaining the required minimum balance.
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918.00,2024-06-04,none,Safe to pay the full requested amount of 49918.00 now while maintaining the required minimum balance.
request_245,47910.61,affordable_later,wait,none,2025-12-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-12-15.
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Only 64086.00 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Safe to pay the full requested amount of 1059.30 now while maintaining the required minimum balance.
request_248,988.99,affordable_later,wait,none,2025-03-24,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-03-24.
request_249,192.53,affordable_later,wait,none,2026-02-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2026-02-15.
request_250,17762.28,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_251,949.95,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_252,6834405.31,affordable_later,wait,none,2026-08-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2026-08-15.
request_253,1530.43,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-04-15,none,Only 1530.43 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_254,959.97,affordable_later,wait,none,2025-09-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-09-15.
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000.00,2026-04-06,none,Safe to pay the full requested amount of 3345000.00 now while maintaining the required minimum balance.
request_256,177158.37,affordable_with_plan,installments,2024-06-10:75816.00|2024-07-11:75816.00|2024-08-11:75816.00,2024-06-15,none,Only 177158.37 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_257,718.3,affordable_later,wait,none,2025-12-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-12-15.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Safe to pay the full requested amount of 1113.60 now while maintaining the required minimum balance.
request_259,455.37,affordable_later,wait,none,2024-10-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2024-10-15.
request_260,9624912.82,affordable_later,wait,none,2025-04-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-04-15.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Safe to pay the full requested amount of 1830.40 now while maintaining the required minimum balance.
request_262,0.0,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_263,9014.95,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_264,28115.13,affordable_later,wait,none,2026-06-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2026-06-15.
request_265,15942.67,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_266,935.0,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,Only 935.00 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_267,1669.65,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-03-15,none,Only 1669.65 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_268,1039.42,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,Only 1039.42 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_269,10847.79,affordable_later,wait,none,2025-12-15,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2025-12-15.
request_270,245.92,not_affordable,not_recommended,none,none,none,The requested amount cannot be safely afforded within the available forecast period.
request_271,44919.38,affordable_later,wait,none,2024-11-20,none,The requested amount is not safely affordable today. Full payment becomes financially feasible on 2024-11-20.
request_272,6658148.66,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-02-15,none,Only 6658148.66 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_273,9484617.27,affordable_with_plan,installments,2026-04-07:5498480.00|2026-05-05:5498480.00|2026-06-02:5498480.00,2026-04-15,none,Only 9484617.27 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_274,2327.51,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,Only 2327.51 is safe today. The selected payment plan completes the purchase within the allowed period while maintaining the required minimum balance.
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000.00,2025-05-06,none,Safe to pay the full requested amount of 15884000.00 now while maintaining the required minimum balance.
